gene,function,category,functional_group
SAOUHSC_02384,hypothetical protein,Cellular processes,Cellular processes
SAOUHSC_02385,mannose-6-phosphate isomerase,Energy metabolism,Energy metabolism
SAOUHSC_02386,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02387,hypothetical protein,Unknown function,Unknown/Hypothetical
SAOUHSC_02388,hypothetical protein,Regulatory functions,Regulatory
SAOUHSC_02389,cation efflux family protein,Transport and binding proteins,Transport
SAOUHSC_02390,lytic regulatory protein,,Unknown/Hypothetical
SAOUHSC_02391,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02392,truncated resolvase,,Unknown/Hypothetical
SAOUHSC_02393,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02394,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_A02273,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02396,hypothetical protein,Unknown function,Unknown/Hypothetical
SAOUHSC_02397,ABC transporter ATP-binding protein,Transport and binding proteins,Transport
SAOUHSC_02399,glucosamine--fructose-6-phosphate aminotransferase,Cell envelope; Central intermediary metabolism,Cell envelope
SAOUHSC_02400,PTS system mannitol-specific protein,Signal transduction; Transport and binding proteins,Signal transduction
SAOUHSC_02401,hypothetical protein,Signal transduction; Transport and binding proteins,Signal transduction
SAOUHSC_02402,PTS system mannitol-specific transporter subunit IIA,Signal transduction; Transport and binding proteins,Signal transduction
SAOUHSC_02403,mannitol-1-phosphate 5-dehydrogenase,,Unknown/Hypothetical
SAOUHSC_02404,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02405,phosphoglucosamine mutase,Cell envelope; Central intermediary metabolism,Cell envelope
SAOUHSC_02406,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02407,hypothetical protein,Hypothetical proteins,Unknown/Hypothetical
SAOUHSC_02409,arginase,,Unknown/Hypothetical
SAOUHSC_02411,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02412,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02416,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02417,,,Unknown/Hypothetical
SAOUHSC_02418,hypothetical protein,Cellular processes; Transport and binding proteins,Cellular processes
SAOUHSC_02419,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02420,hypothetical protein,Cellular processes; Transport and binding proteins,Cellular processes
SAOUHSC_02422,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02423,UDP-N-acetylglucosamine pyrophosphorylase,Hypothetical proteins,Unknown/Hypothetical
SAOUHSC_02424,hypothetical protein,Energy metabolism,Energy metabolism
SAOUHSC_02425,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02426,hypothetical protein,Cellular processes,Cellular processes
SAOUHSC_02427,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02428,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02430,ABC transporter substrate-binding protein,,Unknown/Hypothetical
SAOUHSC_02432,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02433,hypothetical protein,Cell envelope,Cell envelope
SAOUHSC_02434,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02435,hypothetical protein,Transport and binding proteins,Transport
SAOUHSC_02436,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02441,alkaline shock protein 23,,Unknown/Hypothetical
SAOUHSC_02442,hypothetical protein,Protein fate,Protein fate
SAOUHSC_02443,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02444,BCCT family osmoprotectant transporter,Transport and binding proteins,Transport
SAOUHSC_02445,hypothetical protein,Energy metabolism,Energy metabolism
SAOUHSC_02447,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02448,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02449,6-phospho-beta-galactosidase,Energy metabolism,Energy metabolism
SAOUHSC_02450,PTS system lactose-specific transporter subunit IIBC,Signal transduction; Transport and binding proteins,Signal transduction
SAOUHSC_02451,PTS system lactose-specific transporter subunit IIA,Transport and binding proteins,Transport
SAOUHSC_02452,"tagatose 1,6-diphosphate aldolase",Energy metabolism,Energy metabolism
SAOUHSC_02453,tagatose-6-phosphate kinase,Energy metabolism,Energy metabolism
SAOUHSC_02454,galactose-6-phosphate isomerase subunit LacB,Energy metabolism,Energy metabolism
SAOUHSC_02455,galactose-6-phosphate isomerase subunit LacA,Energy metabolism,Energy metabolism
SAOUHSC_02456,lactose phosphotransferase system repressor,Regulatory functions,Regulatory
SAOUHSC_02457,NAD-dependent deacetylase,,Unknown/Hypothetical
SAOUHSC_A02331,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02458,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02459,hypothetical protein,Hypothetical proteins,Unknown/Hypothetical
SAOUHSC_02460,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02461,MerR family transcriptional regulator,Regulatory functions,Regulatory
SAOUHSC_02462,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02463,hyaluronate lyase,Hypothetical proteins,Unknown/Hypothetical
SAOUHSC_02464,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02465,hypothetical protein,Unknown function,Unknown/Hypothetical
SAOUHSC_02466,truncated MHC class II analog protein,,Unknown/Hypothetical
SAOUHSC_02467,alpha-acetolactate decarboxylase,Energy metabolism,Energy metabolism
SAOUHSC_02468,acetolactate synthase,Energy metabolism,Energy metabolism
SAOUHSC_02469,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02470,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02471,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02472,hypothetical protein,Protein fate,Protein fate
SAOUHSC_02474,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02475,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02476,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_A02350,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02477,30S ribosomal protein S9,Protein synthesis,Translation
SAOUHSC_02478,50S ribosomal protein L13,Protein synthesis,Translation
SAOUHSC_02480,tRNA pseudouridine synthase A,Protein synthesis,Translation
SAOUHSC_02481,cobalt transport protein,Transport and binding proteins,Transport
SAOUHSC_02482,cobalt transporter ATP-binding subunit,Transport and binding proteins,Transport
SAOUHSC_02483,cobalt transporter ATP-binding subunit,Transport and binding proteins,Transport
SAOUHSC_02484,50S ribosomal protein L17,Protein synthesis,Translation
SAOUHSC_02485,DNA-directed RNA polymerase subunit alpha,Transcription,Transcription
SAOUHSC_02486,30S ribosomal protein S11,Protein synthesis,Translation
SAOUHSC_02487,30S ribosomal protein S13,Protein synthesis,Translation
SAOUHSC_02488,50S ribosomal protein L36,Protein synthesis,Translation
SAOUHSC_02489,translation initiation factor IF-1,Protein synthesis,Translation
SAOUHSC_02490,adenylate kinase,"Purines, pyrimidines, nucleosides, and nucleotides",Nucleotide metabolism
SAOUHSC_02491,preprotein translocase subunit SecY,Protein fate,Protein fate
SAOUHSC_02492,50S ribosomal protein L15,Protein synthesis,Translation
SAOUHSC_02493,50S ribosomal protein L30,Protein synthesis,Translation
SAOUHSC_02494,30S ribosomal protein S5,Protein synthesis,Translation
SAOUHSC_02495,50S ribosomal protein L18,Protein synthesis,Translation
SAOUHSC_02496,50S ribosomal protein L6,Protein synthesis,Translation
SAOUHSC_02498,30S ribosomal protein S8,,Unknown/Hypothetical
SAOUHSC_02499,30S ribosomal protein S14,Hypothetical proteins,Unknown/Hypothetical
SAOUHSC_02500,50S ribosomal protein L5,Energy metabolism,Energy metabolism
SAOUHSC_02501,50S ribosomal protein L24,Protein synthesis,Translation
SAOUHSC_02502,50S ribosomal protein L14,Protein synthesis,Translation
SAOUHSC_02503,30S ribosomal protein S17,Protein synthesis,Translation
SAOUHSC_02504,50S ribosomal protein L29,Protein synthesis,Translation
SAOUHSC_02505,50S ribosomal protein L16,Protein synthesis,Translation
SAOUHSC_02506,30S ribosomal protein S3,Protein synthesis,Translation
SAOUHSC_02507,50S ribosomal protein L22,Protein synthesis,Translation
SAOUHSC_02508,30S ribosomal protein S19,Protein synthesis,Translation
SAOUHSC_02509,50S ribosomal protein L2,Protein synthesis,Translation
SAOUHSC_02510,50S ribosomal protein L23,Protein synthesis,Translation
SAOUHSC_02511,50S ribosomal protein L4,Protein synthesis,Translation
SAOUHSC_02512,50S ribosomal protein L3,,Unknown/Hypothetical
SAOUHSC_02512a,30S ribosomal protein S10,Protein synthesis,Translation
SAOUHSC_02515,hypothetical protein,Transport and binding proteins,Transport
SAOUHSC_02516,hypothetical protein,Transport and binding proteins,Transport
SAOUHSC_02517,DNA topoisomerase III,DNA metabolism,DNA metabolism
SAOUHSC_02518,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02519,hypothetical protein,Protein synthesis,Translation
SAOUHSC_02520,sugar transporter,Transport and binding proteins,Transport
SAOUHSC_02521,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02522,hypothetical protein,Transport and binding proteins,Transport
SAOUHSC_02523,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02524,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02525,hypothetical protein,Cellular processes; Transport and binding proteins,Cellular processes
SAOUHSC_02527,peptidoglycan pentaglycine interpeptide biosynthesis protein FmhB,Unknown function,Cell envelope
SAOUHSC_02528,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02529,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02530,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02531,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02532,hypothetical protein,Regulatory functions,Regulatory
SAOUHSC_02533,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02534,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02535,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02536,molybdenum cofactor biosynthesis protein A,"Biosynthesis of cofactors, prosthetic groups, and carriers",Virulence
SAOUHSC_02537,molybdopterin-guanine dinucleotide biosynthesis protein MobA,"Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactor biosynthesis
SAOUHSC_02538,molybdopterin converting factor subunit 1,"Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactor biosynthesis
SAOUHSC_02540,molybdopterin converting factor moa,,Unknown/Hypothetical
SAOUHSC_02541,molybdopterin-guanine dinucleotide biosynthesis protein MobB,"Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactor biosynthesis
SAOUHSC_02542,molybdopterin biosynthesis protein MoeA,,Unknown/Hypothetical
SAOUHSC_02543,molybdenum cofactor biosynthesis protein MoaC,"Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactor biosynthesis
SAOUHSC_02544,molybdopterin precursor biosynthesis MoaB,"Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactor biosynthesis
SAOUHSC_02545,hypothetical protein,"Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactor biosynthesis
SAOUHSC_02546,molybdenum transport ATP-binding protein ModC,Transport and binding proteins,Transport
SAOUHSC_02547,molybdenum ABC transporter permease,Transport and binding proteins,Transport
SAOUHSC_02549,molybdenum ABC transporter substrate-binding protein,Transport and binding proteins,Transport
SAOUHSC_02550,formate dehydrogenase accessory protein,Energy metabolism,Energy metabolism
SAOUHSC_02551,hypothetical protein,Protein synthesis,Translation
SAOUHSC_02552,hypothetical protein,Transport and binding proteins,Transport
SAOUHSC_02553,hypothetical protein,"Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactor biosynthesis
SAOUHSC_02554,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02555,,Central intermediary metabolism,Central metabolism
SAOUHSC_02557,urea transporter,Transport and binding proteins,Transport
SAOUHSC_02558,urease subunit gamma,Central intermediary metabolism,Central metabolism
SAOUHSC_02559,urease subunit beta,Central intermediary metabolism,Central metabolism
SAOUHSC_02561,urease subunit alpha,Central intermediary metabolism,Central metabolism
SAOUHSC_02562,urease accessory protein UreE,Central intermediary metabolism,Central metabolism
SAOUHSC_02563,urease accessory protein UreF,,Unknown/Hypothetical
SAOUHSC_02564,urease accessory protein UreG,Central intermediary metabolism,Central metabolism
SAOUHSC_02565,urease accessory protein UreD,,Unknown/Hypothetical
SAOUHSC_02566,hypothetical protein,Regulatory functions,Regulatory
SAOUHSC_02567,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02568,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02569,hypothetical protein,Regulatory functions,Regulatory
SAOUHSC_02570,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02571,secretory antigen,,Unknown/Hypothetical
SAOUHSC_02572,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02573,Na+/H+ antiporter NhaC,Transport and binding proteins,Transport
SAOUHSC_02574,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02575,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02576,secretory antigen SsaA,Cell envelope,Cell envelope
SAOUHSC_A02445,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02577,D-isomer specific 2-hydroxyacid dehydrogenase NAD binding domain-containing protein,Amino acid biosynthesis,Amino acid metabolism
SAOUHSC_02579,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02580,N-acetylmuramoyl-L-alanine amidase,DNA metabolism,DNA metabolism
SAOUHSC_A02450,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02581,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02582,formate dehydrogenase subunit alpha,,Unknown/Hypothetical
SAOUHSC_02583,transcriptional regulator,Regulatory functions,Regulatory
SAOUHSC_02584,hypothetical protein,Amino acid biosynthesis,Amino acid metabolism
SAOUHSC_02585,hypothetical protein,Unknown function,Unknown/Hypothetical
SAOUHSC_02586,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02587,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02588,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02589,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02590,hypothetical protein,Transport and binding proteins,Transport
SAOUHSC_02591,hypothetical protein,Cellular processes,Cellular processes
SAOUHSC_02592,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02593,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02594,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02595,hypothetical protein,Transport and binding proteins,Transport
SAOUHSC_02596,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02597,PTS system transporter,Transport and binding proteins,Transport
SAOUHSC_02599,hex regulon repressor,,Unknown/Hypothetical
SAOUHSC_02600,hypothetical protein,Hypothetical proteins,Unknown/Hypothetical
SAOUHSC_02601,Na+/H+ antiporter,Transport and binding proteins,Transport
SAOUHSC_02602,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02603,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02604,hypothetical protein,Fatty acid and phospholipid metabolism,Lipid metabolism
SAOUHSC_02605,hypothetical protein,Protein fate,Protein fate
SAOUHSC_02606,imidazolonepropionase,Energy metabolism,Energy metabolism
SAOUHSC_02607,urocanate hydratase,Energy metabolism,Energy metabolism
SAOUHSC_02608,hypothetical protein,Regulatory functions,Regulatory
SAOUHSC_02609,fosfomycin resistance protein FosB,Central intermediary metabolism; Energy metabolism,Central metabolism
SAOUHSC_02610,formimidoylglutamase,Energy metabolism,Energy metabolism
SAOUHSC_02611,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02612,ribose-5-phosphate isomerase A,Energy metabolism,Energy metabolism
SAOUHSC_02613,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_A02483,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02614,aldose 1-epimerase,,Unknown/Hypothetical
SAOUHSC_02615,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02616,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02618,hypothetical protein,"Purines, pyrimidines, nucleosides, and nucleotides",Nucleotide metabolism
SAOUHSC_02619,hypothetical protein,Transport and binding proteins,Transport
SAOUHSC_02620,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02621,DNA-3-methyladenine glycosylase,DNA metabolism,DNA metabolism
SAOUHSC_02622,sodium/glutamate symporter,Transport and binding proteins,Transport
SAOUHSC_02623,isopentenyl pyrophosphate isomerase,"Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactor biosynthesis
SAOUHSC_02624,hypothetical protein,Transport and binding proteins,Transport
SAOUHSC_02625,hypothetical protein,Unknown function,Unknown/Hypothetical
SAOUHSC_02626,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02627,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02628,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02629,EmrB/QacA family drug resistance transporter,Cellular processes; Transport and binding proteins,Cellular processes
SAOUHSC_02630,hypothetical protein,Transport and binding proteins,Transport
SAOUHSC_02631,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02632,,,Unknown/Hypothetical
SAOUHSC_02634,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02635,hypothetical protein,Regulatory functions,Regulatory
SAOUHSC_A02503,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02638,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_A02505,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02639,putative transposase,,Unknown/Hypothetical
SAOUHSC_02640,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02641,permease domain-containing protein,,Unknown/Hypothetical
SAOUHSC_02643,DNA-binding response regulator,Regulatory functions; Signal transduction,Regulatory
SAOUHSC_02644,sensor histidine kinase,Signal transduction,Signal transduction
SAOUHSC_02645,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02646,hypothetical protein,Cellular processes,Cellular processes
SAOUHSC_02647,malate:quinone oxidoreductase,Energy metabolism,Energy metabolism
SAOUHSC_02648,L-lactate permease,Transport and binding proteins,Transport
SAOUHSC_02649,hypothetical protein,Mobile and extrachromosomal element functions,Mobile elements
SAOUHSC_02650,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02651,hypothetical protein,Protein synthesis,Translation
SAOUHSC_02652,hypothetical protein,Unknown function,Unknown/Hypothetical
SAOUHSC_02653,hypothetical protein,Protein synthesis,Translation
SAOUHSC_02654,hypothetical protein,Energy metabolism,Energy metabolism
SAOUHSC_02655,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02656,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02657,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02658,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02659,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02660,hypothetical protein,Transport and binding proteins,Transport
SAOUHSC_02661,PTS system sucrose-specific transporter subunit IIBC,,Unknown/Hypothetical
SAOUHSC_02663,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02664,transcriptional regulator,,Unknown/Hypothetical
SAOUHSC_02665,hypothetical protein,Unknown function,Unknown/Hypothetical
SAOUHSC_02666,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02667,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02668,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02669,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02670,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02671,hypothetical protein,Transport and binding proteins,Transport
SAOUHSC_02674,hypothetical protein,Regulatory functions,Regulatory
SAOUHSC_02675,hypothetical protein,Cellular processes,Cellular processes
SAOUHSC_02676,hypothetical protein,Protein fate; Signal transduction,Protein fate
SAOUHSC_02677,hypothetical protein,Central intermediary metabolism; Regulatory functions,Central metabolism
SAOUHSC_02678,respiratory nitrate reductase subunit gamma,Energy metabolism,Energy metabolism
SAOUHSC_02679,respiratory nitrate reductase subunit delta,Protein fate,Protein fate
SAOUHSC_02680,nitrate reductase subunit beta,Energy metabolism,Energy metabolism
SAOUHSC_02681,nitrate reductase subunit alpha,Energy metabolism,Energy metabolism
SAOUHSC_02682,uroporphyrin-III C-methyltransferase,"Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactor biosynthesis
SAOUHSC_02683,assimilatory nitrite reductase [NAD(P)H] small subunit,Central intermediary metabolism,Central metabolism
SAOUHSC_02684,assimilatory nitrite reductase [NAD(P)H] large subunit,Central intermediary metabolism,Central metabolism
SAOUHSC_02685,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02686,hypothetical protein,Protein synthesis,Translation
SAOUHSC_02687,formate/nitrite transporter,Transport and binding proteins,Transport
SAOUHSC_02688,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02689,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02690,hypothetical protein,Transport and binding proteins,Transport
SAOUHSC_02691,hypothetical protein,Cellular processes; Mobile and extrachromosomal element functions,Cellular processes
SAOUHSC_02692,hypothetical protein,Cellular processes; Mobile and extrachromosomal element functions,Cellular processes
SAOUHSC_02693,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02694,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02695,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02696,methicillin resistance determinant protein FmhA,Unknown function,Unknown/Hypothetical
SAOUHSC_02697,amino acid ABC transporter ATP-binding protein,,Unknown/Hypothetical
SAOUHSC_02698,amino acid ABC transporter permease,,Unknown/Hypothetical
SAOUHSC_02699,hypothetical protein,Transport and binding proteins,Transport
SAOUHSC_02700,hypothetical protein,Cellular processes; Transport and binding proteins,Cellular processes
SAOUHSC_02701,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02702,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02703,"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase",,Unknown/Hypothetical
SAOUHSC_02704,hypothetical protein,Transport and binding proteins,Transport
SAOUHSC_02705,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02706,immunoglobulin G-binding protein Sbi,,Unknown/Hypothetical
SAOUHSC_02707,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02708,gamma-hemolysin h-gamma-II subunit,Cellular processes,Virulence
SAOUHSC_02709,leukocidin s subunit,Cellular processes,Virulence
SAOUHSC_02710,leukocidin f subunit,Cellular processes,Virulence
SAOUHSC_02711,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02712,6-carboxyhexanoate--CoA ligase,"Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactor biosynthesis
SAOUHSC_02713,hypothetical protein,"Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactor biosynthesis
SAOUHSC_02714,biotin synthase,"Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactor biosynthesis
SAOUHSC_02715,adenosylmethionine--8-amino-7-oxononanoate aminotransferase BioA,"Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactor biosynthesis
SAOUHSC_02716,dethiobiotin synthase,"Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactor biosynthesis
SAOUHSC_A02577,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02717,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02718,hypothetical protein,Cell envelope; Transport and binding proteins,Cell envelope
SAOUHSC_02719,hypothetical protein,Cell envelope; Transport and binding proteins,Cell envelope
SAOUHSC_02720,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02721,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02722,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02723,glycerate kinase,Energy metabolism,Energy metabolism
SAOUHSC_02724,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02725,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02726,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02727,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02728,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02729,amino acid ABC transporter-like protein,Transport and binding proteins,Transport
SAOUHSC_02731,hypothetical protein,Transport and binding proteins,Transport
SAOUHSC_02732,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02733,hypothetical protein,Transport and binding proteins,Transport
SAOUHSC_02734,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02736,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02737,epimerase/dehydratase,,Unknown/Hypothetical
SAOUHSC_02738,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02739,2-dehydropantoate 2-reductase,"Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactor biosynthesis
SAOUHSC_02740,drug transporter,Cellular processes; Transport and binding proteins,Cellular processes
SAOUHSC_02741,amino acid ABC transporter permease,,Unknown/Hypothetical
SAOUHSC_02742,amino acid transporter,Regulatory functions,Regulatory
SAOUHSC_02743,amino acid ABC transporter permease,,Unknown/Hypothetical
SAOUHSC_02744,amino acid ABC transporter ATP-binding protein,Transport and binding proteins,Transport
SAOUHSC_02745,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02746,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02747,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02750,hypothetical protein,Transport and binding proteins,Transport
SAOUHSC_02751,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02752,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02753,hypothetical protein,Hypothetical proteins,Unknown/Hypothetical
SAOUHSC_02754,ABC transporter ATP-binding protein,Cellular processes; Transport and binding proteins,Cellular processes
SAOUHSC_02755,hypothetical protein,Protein fate,Protein fate
SAOUHSC_02756,hypothetical protein,Cellular processes; Mobile and extrachromosomal element functions,Cellular processes
SAOUHSC_02757,hypothetical protein,Cellular processes; Mobile and extrachromosomal element functions,Cellular processes
SAOUHSC_02758,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02759,hypothetical protein,Transport and binding proteins,Transport
SAOUHSC_02760,glutamate synthase subunit alpha,,Unknown/Hypothetical
SAOUHSC_02761,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02762,hypothetical protein,Transport and binding proteins,Transport
SAOUHSC_02763,peptide ABC transporter ATP-binding protein,Transport and binding proteins,Transport
SAOUHSC_02764,peptide ABC transporter ATP-binding protein,Transport and binding proteins,Transport
SAOUHSC_02765,nickel ABC transporter permease,Transport and binding proteins,Transport
SAOUHSC_02766,peptide ABC transporter permease,Transport and binding proteins,Transport
SAOUHSC_02767,peptide ABC transporter substrate-binding protein,Transport and binding proteins,Transport
SAOUHSC_02768,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02769,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02770,hypothetical protein,Amino acid biosynthesis,Amino acid metabolism
SAOUHSC_02771,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02772,hypothetical protein,Fatty acid and phospholipid metabolism,Lipid metabolism
SAOUHSC_02773,transporter,Hypothetical proteins,Unknown/Hypothetical
SAOUHSC_02774,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02775,hypothetical protein,Transport and binding proteins,Transport
SAOUHSC_02776,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_A02635,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02777,hypothetical protein,Transport and binding proteins,Transport
SAOUHSC_02778,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02779,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02780,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02781,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02782,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02783,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02784,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02785,hypothetical protein,,Unknown/Hypothetical
